0.329648, 0.721062, 0.496215, 
0.675957, 0.936821, 0.580465, 
0.784999, 0.576272, 0.963488, 
0.536648, 0.080186, 0.844873, 
0.004447, 0.413825, 0.753107, 
0.198611, 0.180845, 0.703050, 
0.438725, 0.995631, 0.246624, 
0.558291, 0.520386, 0.039941, 
0.385129, 0.885283, 0.462113, 
0.646859, 0.648252, 0.117374, 
0.585674, 0.466254, 0.161620, 
0.766331, 0.095281, 0.419756, 
0.174635, 0.967821, 0.666115, 
0.503115, 0.620111, 0.973154, 
0.382675, 0.156003, 0.279650, 
0.977198, 0.398367, 0.531393, 
0.936084, 0.882505, 0.930693, 
0.892737, 0.539014, 0.166662, 
0.443530, 0.543676, 0.789250, 
0.751527, 0.442453, 0.102965, 
0.909403, 0.183745, 0.883623, 
0.373318, 0.249231, 0.522238, 
0.116291, 0.285112, 0.974126, 
0.525121, 0.529510, 0.756104, 
0.341125, 0.559837, 0.722570, 
0.849403, 0.415146, 0.002601, 
0.186232, 0.905680, 0.205614, 
0.208745, 0.305143, 0.260369, 
0.530431, 0.649770, 0.079955, 
0.084285, 0.288782, 0.735328, 
0.240770, 0.255251, 0.822651, 
0.634553, 0.358183, 0.343391, 
0.111076, 0.805918, 0.136138, 
0.607345, 0.538927, 0.665889, 
0.889758, 0.590064, 0.830441, 
0.490686, 0.231142, 0.673621, 
0.313508, 0.101946, 0.139459, 
0.762140, 0.644644, 0.378827, 
0.954526, 0.980139, 0.678363, 
0.645884, 0.101722, 0.515925, 
0.485320, 0.187866, 0.978055, 
0.438182, 0.009385, 0.267725, 
0.186382, 0.838303, 0.866911, 
0.443134, 0.481342, 0.373755, 
0.488120, 0.468530, 0.136630, 
0.861131, 0.908550, 0.082692, 
0.716456, 0.417147, 0.738824, 
0.620333, 0.544138, 0.372068, 
0.089774, 0.699009, 0.380516, 
0.111761, 0.079050, 0.302174, 
0.575589, 0.509416, 0.294525, 
0.461657, 0.486898, 0.259814, 
0.545449, 0.855880, 0.463475, 
0.038012, 0.614405, 0.987852, 
0.579286, 0.117415, 0.385076, 
0.628978, 0.606873, 0.943234, 
0.481927, 0.164180, 0.167001, 
0.160527, 0.399026, 0.925004, 
0.754379, 0.532357, 0.754337, 
0.793496, 0.875211, 0.856599, 
0.291369, 0.659039, 0.602387, 
0.507608, 0.787626, 0.107367, 
0.237992, 0.126025, 0.455472, 
0.192685, 0.524974, 0.654590, 
